,Disk (GB),Memory (GB),CPU (Core),Bandwidth (MB/s),Region,Latitude,Longitude
0,6584,74,20,1808,Alabama,32.57448861690312,85.58329317731614
1,5486,37,16,1808,Alabama,32.24722925217073,86.25993870120637
2,5031,37,16,1808,Alabama,30.898747867130528,86.51066094555628
3,4600,37,16,1808,Alabama,34.79777276593824,85.99213574354037
4,4505,37,16,1805,Alabama,31.861610165299336,85.39422179380095
5,4389,37,16,1714,Alabama,31.91845901616225,88.39929793015152
6,4034,37,16,1645,Alabama,31.859445768027957,87.89361771163517
7,4023,37,16,1446,Alabama,30.856020298478754,87.87028742663352
8,3943,37,13,1446,Alabama,34.16697024365723,86.84931333723466
9,3840,37,13,1446,Alabama,31.152447323291142,86.86506047471305
10,3822,37,13,1301,Alabama,34.2132308232475,86.76102930175722
11,3815,37,13,1083,Alabama,30.8759999568834,85.65042435351971
12,3657,29,13,1083,Alabama,31.0895196445066,85.73510419134
13,3461,29,13,1083,Alabama,30.26133061458751,85.47177433482943
14,3413,29,13,1083,Alabama,32.95055429150867,85.12231390869164
15,3292,26,13,1083,Alabama,30.65665841274424,87.73849717122093
16,3176,23,13,1083,Alabama,32.135171469629945,86.02996417288165
17,3012,20,13,1083,Alabama,33.848359215968934,87.57110041242701
18,2949,20,13,1083,Alabama,33.779363063225524,88.19853926498055
19,2926,19,13,904,Alabama,30.248078401151357,85.6832107453232
20,2781,17,13,866,Alabama,32.42690826125721,88.22243973927378
21,2743,17,13,866,Alabama,30.54343893729708,85.5204469456307
22,2635,17,13,864,Alabama,34.265543920585436,87.16984576246033
23,2599,17,13,844,Alabama,32.91053841312138,85.70887682597555
24,2560,17,13,840,Alabama,34.8009244512785,88.15510888894802
25,2377,17,13,765,Alabama,31.442145525873894,85.92077143456221
26,2204,17,13,764,Alabama,30.861810196136304,86.12482766816532
27,2194,17,13,759,Alabama,33.76804623488189,86.21898287753788
28,2194,17,13,721,Alabama,31.338906926922974,87.88460522935624
29,2144,17,13,721,Alabama,34.040439793178095,87.3687103655467
30,2124,17,13,721,Alabama,30.867127731036398,88.07175626470408
31,2122,17,13,721,Alabama,33.99987865442482,85.32739307265983
32,2011,17,13,721,Alabama,30.8444832993687,86.07229241399759
33,1828,17,13,721,Alabama,34.16006633614684,87.1055349761178
34,1828,17,13,721,Alabama,33.892607496427225,86.67800935457988
35,1828,17,13,721,Alabama,34.13423952496481,87.5889353599559
36,1734,17,13,721,Alabama,33.821354975711934,85.56458239552155
37,1646,17,13,721,Alabama,33.59126652439764,86.42519063284426
38,1646,17,13,721,Alabama,34.119472766970546,87.92618658165408
39,1646,17,13,721,Alabama,30.547730293673343,87.76426083007608
40,1646,17,13,721,Alabama,34.99423328791115,86.61973739162374
41,1646,17,13,677,Alabama,32.25762630156038,88.20455398668697
42,1646,17,13,669,Alabama,34.939814088641725,87.44057358769362
43,1646,17,13,666,Alabama,30.59660485044077,87.34231244687727
44,1588,17,13,663,Alabama,30.767451805264574,85.47364845494675
45,1463,17,13,662,Alabama,34.58212602936914,87.1395559342136
46,1463,17,13,654,Alabama,34.49848355422251,86.22408445168998
47,1463,17,13,648,Alabama,33.449046476272976,86.39533833672104
48,1463,17,13,589,Alabama,33.79847788364286,85.39876252797801
49,1463,17,13,583,Alabama,30.609172665365,88.25055952223607
50,1463,17,13,583,Alabama,34.71574942089421,87.99499790782023
51,1417,17,13,576,Alabama,34.80369516106676,85.66712094187784
52,1404,17,13,541,Alabama,32.10729050865523,87.27381571929665
53,1308,17,13,541,Alabama,31.720265340984874,87.81514407095078
54,1301,17,13,511,Alabama,31.258207138902623,87.80218682484715
55,1280,17,13,465,Alabama,34.03633894643981,85.7890146587578
56,1280,17,13,437,Alabama,34.078904422965714,88.11244055085646
57,1280,17,13,436,Alabama,33.506035928468584,85.7048616187315
58,1280,17,13,431,Alabama,31.412478024239725,88.11546474044472
59,1280,17,13,427,Alabama,32.00705508251864,86.52901776512866
60,1216,17,13,426,Alabama,31.787937231100443,87.53480020264033
61,1138,17,13,420,Alabama,31.078709218608147,86.61200344699958
62,1129,17,13,419,Alabama,32.067455745279105,85.23906086642505
63,1097,17,13,418,Alabama,34.155977665567406,86.57366408029294
64,1097,17,13,416,Alabama,34.44810748604561,88.35209350177026
65,1097,17,13,415,Alabama,34.272819358442845,87.8867830156277
66,1097,17,13,414,Alabama,34.164325597284154,88.09065591496439
67,1097,17,13,401,Alabama,34.351028826072145,86.94188280780531
68,1097,17,12,383,Alabama,30.509746997554323,86.64810097960144
69,1097,17,10,366,Alabama,33.99314251254569,86.46833446562994
70,1097,17,10,362,Alabama,34.28366493000121,87.08179604090613
71,1097,17,10,358,Alabama,33.97856281697766,86.4038393491701
72,1097,17,10,358,Alabama,33.96507293116494,85.28471295802196
73,1097,17,10,358,Alabama,33.002099758407134,87.50085458620359
74,1097,17,10,358,Alabama,33.909750696462055,86.31478929143935
75,1097,17,10,358,Alabama,33.04927436721087,87.86048746347167
76,1097,17,10,358,Alabama,34.929401973468025,86.70598554974654
77,1016,17,10,358,Alabama,32.09579807038594,87.19831699261742
78,951,17,10,358,Alabama,33.472655593780686,88.45750966075428
79,944,17,10,352,Alabama,30.95345624866923,85.28526461417961
80,943,17,10,348,Alabama,34.27843347212189,86.51310204791392
81,914,17,10,342,Alabama,34.14900804291167,86.90440955370119
82,914,17,10,334,Alabama,30.80393107687944,88.24698237395599
83,914,17,10,332,Alabama,30.854067215514387,87.87462111896228
84,914,17,10,331,Alabama,34.00512044511691,84.99028261697435
85,914,17,10,331,Alabama,32.1610863408941,85.83480504998379
86,914,17,10,325,Alabama,33.34533749781209,87.89206002757834
87,914,17,10,320,Alabama,31.300594494132497,87.23940324536062
88,914,17,10,318,Alabama,32.61593327785636,86.84686892038567
89,914,14,10,311,Alabama,30.69751276089707,84.94599163998741
90,769,14,10,293,Alabama,31.08697207199669,86.02340056988545
91,731,14,10,285,Alabama,33.817069508697756,87.62729483745338
