,Time,User ID,Number of request
0,0,73661,1
1,0,110006,5
2,0,51461,2
3,0,45907,1
4,0,6055,1
5,0,5537,1
6,0,39776,1
7,0,123545,2
8,0,46263,5
9,0,100260,4
10,0,64842,1
11,0,40541,1
12,0,83163,2
13,0,126868,1
14,0,115479,7
15,0,92985,7
16,0,107720,4
17,0,101577,2
18,0,92432,1
19,0,6528,1
20,0,32988,1
21,0,83533,1
22,0,32698,1
23,0,131174,1
24,0,118348,1
25,0,54766,1
26,0,2962,8
27,0,64231,1
28,0,118100,4
29,0,21319,2
30,0,48931,2
31,0,102289,2
32,0,2191,1
33,0,18166,2
34,0,100094,2
35,0,61420,7
36,0,89124,1
37,0,59521,3
38,0,6634,1
39,0,40302,10
40,0,64379,1
41,0,50122,1
42,0,109065,3
43,0,73978,1
44,0,69382,5
45,0,85894,1
46,0,113356,5
47,0,13858,1
48,0,43843,6
49,0,15065,1
50,0,23997,1
51,0,116761,12
52,0,38305,4
53,0,76141,1
54,0,80258,2
55,0,95182,6
56,0,123062,2
57,0,20355,1
58,0,106925,1
59,0,24167,3
60,0,120124,1
61,0,9195,1
62,0,80754,3
63,0,6315,4
64,0,60125,6
65,0,118174,1
66,0,37427,1
67,0,127556,1
68,0,131199,1
69,0,99977,4
70,0,54238,2
71,0,71794,1
72,0,108573,1
73,0,113211,3
74,0,42868,3
75,0,35861,2
76,0,107694,1
77,0,25534,1
78,0,103672,1
79,0,86630,2
80,0,84200,6
81,0,43762,1
82,0,100820,1
83,0,42849,3
84,0,12117,1
85,0,63829,1
86,0,126723,1
87,0,117536,3
88,0,59371,1
89,0,126271,1
90,0,56766,1
91,0,100229,1
92,0,45422,1
93,0,91799,3
94,0,84014,1
95,0,123928,1
96,0,43685,3
97,0,2675,2
98,0,10655,1
99,0,65755,6
100,0,63976,7
101,0,115377,1
102,0,5722,1
103,0,3466,2
104,0,33369,4
105,0,28505,1
106,0,125083,5
107,0,114416,3
108,0,21952,1
109,0,8147,3
110,0,33446,1
111,0,27499,1
112,0,111136,6
113,0,122003,2
114,0,116746,1
115,0,78041,1
116,0,66833,1
117,0,86223,1
118,0,93537,1
119,0,94270,1
120,0,76722,1
121,0,108205,4
122,0,13695,2
123,0,38348,1
124,0,29458,1
125,0,51093,1
126,0,7342,2
127,0,112172,4
128,0,71649,3
129,0,71369,1
130,0,131425,3
131,0,43790,4
132,0,16334,1
133,0,120894,2
134,0,20787,1
135,0,23014,1
